secret:secrets,confidential,hidden,spy,revealing,hiding,hide,mystery,reveal
respects:tribute,respect,funeral,memorial,honoring,honor,slain,understands,sacrifice,unlike
coverage:insurance,covering,cover,uninsured,covered,broadcast,reporting,insurers,premiums
dogs:dog,cats,pets,animals,cat,pet,animal,horses,birds
alarm:alert,warning,concern,fire,panic,alerted,alerts,concerns,warnings,fears
renovation:construction,redevelopment,demolition,restoration,repairs,building,upgrades,project,reconstruction
tracks:track,songs,albums,trains,train,album,song,disc,recording
party:parties,caucus,coalition,constituency,political,opposition,electoral
the:this,in,that,another,however,one,entire,its,which,their
prompting:prompted,forcing,sparked,amid,forced,prompt,triggered,causing,led,refused
speed:speeds,mph,fast,slow,pace,speeding,faster,slower,quicker,reliability
parts:components,regions,portions,sections,areas,pieces,elsewhere,elements,eastern,western
gaining:gained,gain,losing,giving,securing,regain,obtaining,getting,earning,receiving
athletics:athletic,football,sports,basketball,athletes,athlete,sport,coaches,soccer
shop:shops,store,stores,supermarket,factory,restaurant,mall,warehouse,shopping
employees:workers,employee,workforce,employers,employer,staff,customers,executives,associates
generic:pharmaceutical,prescription,patent,medicines,drug,drugs
outs:batters,inning,batter,pitches,strikeouts,hits,homer,innings,bases
journey:trip,quest,adventure,travels,path,ride,route,trips,traveled,tour
shore:coast,offshore,beach,bolster,boat,waters,ocean,beaches,boats,river
builders:developers,homeowners,buyers,contractors,construction,designers,lenders,sellers
relay:meter,swim,runners,championships,kilometer,swimming,hurdles
cruise:sailing,travel,ferry,vacation,trips,trip,boat,ship,luxury
each:every,individually,one,individual,other,per,three,same
outdoor:indoor,outdoors,recreational,recreation,lighting,lawn,sports,garden,interactive,leisure
connection:connections,link,links,connected,relation,linked,connect,linking,involvement,charged
physical:mental,physically,psychological,fitness,emotional,mentally,sexual,skill,workout,discipline
between:with,close,versus,over,in,sides,involving,both,among
mood:tone,sentiment,attitude,feeling,atmosphere,spirits,attitudes,feelings,upbeat,spirit
leases:lease,leasing,contracts,agreements,rent,licenses,rental,permits,loans,contract
jurisdiction:authority,statute,discretion,oversight,mandate,courts,constitutional,sovereignty,judicial,powers
span:stretch,eight,six,seven,period,five,stretches,four,three,nine
blocks:block,blocked,steals,digs,assists,kills,blocking,rebounds,points,minutes
weekly:monthly,daily,regular,yearly,week,regularly,annual,newsletter,day
disagree:agree,argue,oppose,believe,agrees,differ,say,think,insist,know
tall:foot,height,feet,thick,wooden,inches,standing,inch,towers,imposing
entrepreneurs:businesses,professionals,enterprises,business,farmers,artists,bankers,firms,companies,designers
grid:electricity,pole,electric,electrical,utilities,transmission,power,energy
crore:lakh,billion
bonds:bond,debt,securities,borrowing,yields,funds,equities,fund,investments
central:western,northern,eastern,southern,southwest,northeast,southeast,northwest,north,south
cricket:rugby,bowling,wickets,wicket
sang:singing,sing,song,songs,shouted,lyrics,piano,singer,performed,listened
sand:dirt,mud,beach,rocks,salt,beaches,dust,concrete,water,clay
practicing:practiced,practice,playing,teaching,studying,doing,practices,drills,taught,working
ban:bans,banning,banned,moratorium,restrictions,restrict,prohibited,suspension,barred,suspend
bar:bars,pub,nightclub,restaurant,drinks,restaurants,strip,patrons
bat:bats,batting,balls,ball,pitch,hitter,inning,wicket,innings,catcher
skilled:talented,skill,skills,trained,qualified,talent,educated,experienced,professional,hire
albums:album,songs,song,disc,band,music,bands,lyrics,genre
opportunities:opportunity,possibilities,potential,options,advantages,chance,capitalize,challenges,prospects,advantage
scholarship:scholarships,college,tuition,graduate,graduating,graduation,colleges,prize,semester,university
singing:sing,sang,song,dancing,songs,piano,lyrics,musical,singer,dance
rig:drilling,vessel,offshore,truck,boat,oil,vessels,ship
seek:seeking,sought,seeks,pursue,provide,try,propose,give,obtain,need
associate:assistant,director,adviser,executive,coordinator,consultant,professor,dean,deputy
include:included,includes,involve,including,feature,require,featuring,features,featured,incorporate
seem:seems,seemed,appear,necessarily,seemingly,certainly,quite,not,are,appears
date:dates,calendar,scheduled,schedule,prior,timing,deadline,earliest,sometime,timetable
gambling:casino,casinos,gaming,poker,betting,lottery,bets,slots,liquor
nonprofit:advocacy,organization,volunteer,charities,organizations,charity,grants,outreach,foundation
personally:honestly,me,anybody,anyone,obviously,directly,him,myself,never
program:programs,initiative,scheme,outreach,system,plan,project,curriculum
payment:payments,pay,refund,paid,payable,owed,receipt,repay
construction:renovation,project,demolition,projects,building,construct,builders,reconstruction,constructed
vision:dreams,dream,philosophy,passion,commitment,ideas,strategy,leadership,transformation
seller:sellers,buyer,selling,buyers,vendor,retailer,maker,supplier,sale,dealer
participation:involvement,participating,participate,participated,participant,turnout,attendance,membership,cooperation,participants
furniture:clothing,jewelry,clothes,wood,appliances,kitchen,goods,toys,apparel,accessories
donor:donors,donation,donations,recipient,fundraising,donate,gift,donated,aid,recipients
examples:example,instances,references,highlights,concepts,innovations,reasons,ideas,successes,advantages
cement:concrete,steel,rubber,construction,petroleum,mud,metal,sand,wood,stone
stranded:trapped,rescued,stuck,evacuated,flooded,missing,grounded,flee,fleeing,dead
arrangement:arrangements,agreement,agreements,partnership,deal,accord,pact,scheme,relationship,negotiated
forces:troops,insurgents,army,soldiers,militia,militants,force,commanders,civilians
shifts:shift,shifting,changes,shifted,change,moves,changing,overtime,adjust,adjustments
hostile:violent,friendly,aggressive,enemy,abusive,negative,supportive,dangerous,angry,favorable
photographer:photography,journalist,reporter,photograph,photographs,photo,artist,photos,writer
disciplined:discipline,aggressive,punished,consistent,motivated,careful,talented,cautious,balanced,execute
outscored:trailed,scored,scoreless,halftime,turnovers
occupied:vacant,housed,adjacent,owned,empty,occupation,reserved,surrounded,constructed,operated
earn:earning,earned,receive,qualify,clinch,pay,get,give,rewarded,collect
resolutions:resolution,amendments,proposals,provisions,declaration,measures,recommendations,legislation
leagues:league,clubs,baseball,tournaments,teams,players,club
garage:basement,house,bedroom,car,kitchen,door,parked,apartment,cars,backyard
shut:closed,shutdown,reopen,knocked,suspend,reopened,halted,locked,closure,crack
independently:separately,independent,individually,jointly,properly,separate,entity,effectively,locally,efficiently
watchdog:regulator,advocacy,agency,regulators,oversight,commission,audit,inspectors,advocates
boosting:boost,enhancing,boosted,improving,bolster,lowering,reducing,strengthening,increasing,enhance
consortium:group,project,jointly,stake,subsidiary,alliance,partnership,venture
armed:militia,gunmen,weapons,confronted,guns,militant,weapon,gangs,firearms,confrontation
lineup:roster,rotation,starters,squad,starter,schedule,bullpen,bench,hitters,defensively
profession:careers,professional,career,society,professionals,ethical,teaching,institution,industry
wishes:wish,wished,intentions,wants,desire,dreams,thoughts,interests,prayers,decides
version:versions,edition,features,model,preview,copy,format,original,classic
staging:staged,organizing,venue,hosting,organizers,theater,preparing,conducting,planning,stage
apology:apologize,apologized,explanation,sorry,regret,sympathy,statement,invitation,resignation,remarks
milk:dairy,sugar,meat,cheese,chocolate,rice,wheat,bread,food
governors:governor,presidents,legislators,senators,lawmakers,politicians,chiefs,leaders
settings:environments,mode,interface,button,setup,features,situations,remote,spaces,functionality
staged:staging,organized,held,performed,participated,filmed,planned,hosted,attended,conducted
lesson:lessons,teach,taught,learned,reminder,instruction,learn,thing,learning,teaches
wished:wish,hoped,wanted,wishes,liked,would,asked,had,knew,thought
shareholders:stockholders,shareholder,shares,directors,dividend,investors,creditors,stock,merger,investor
finance:financing,banking,financial,corporate,economics,loans,debt,lending,treasurer
carry:carried,carrying,carries,bring,take,put,pull,come,go,hold
merit:justified,worthy,justify,deserve,deserves,valid,ridiculous,consideration,achievement,bias
dollars:money,billions,millions,dollar,tens,funds,million,penny
common:ordinary,commonly,diluted,preferred,certain,applicable,basic,underlying,share
laptop:laptops,computer,computers,desktop,smartphone,device
member:members,chairman,representative,chair,membership,founding,participant,treasurer
repeatedly:frequently,routinely,continually,consistently,publicly,never,repeated,regularly,constantly,also
relieved:glad,disappointed,surprised,happy,shocked,anxious,stunned,thrilled,worried,satisfied
auction:sale,bidding,bids,sold,sell,buyer,bid,selling
together:united,apart,forth,out,individually,separately,unified,back,collectively
accelerate:accelerated,facilitate,enhance,strengthen,expand,spur,reduce,improve,rapid,stimulate
actively:aggressively,active,currently,strongly,closely,interested,openly,continuously,constantly,continually
step:steps,stepping,move,stepped,leap,push,moves,challenge,part,milestone
assurance:guarantee,assure,doubt,assured,guarantees,indication,ensure,expectation,satisfaction
restructuring:consolidation,turnaround,bankruptcy,merger,layoffs,reductions,acquisition,profitability,transformation
election:elections,electoral,polls,primaries,presidential,vote,referendum,voters,incumbent
measures:steps,measure,initiatives,reforms,provisions,actions,proposals,policies,methods,strategies
voluntary:voluntarily,mandatory,mandated,private,volunteer,encourage,informal,cooperative,strict,formal
population:populations,census,households,enrollment,workforce,communities,citizens,residents,minorities
hours:days,hour,minutes,weeks,day,months,midnight,morning,weekends
alliance:coalition,partnership,pact,allies,agreement,partnerships,ally,relationship
flights:flight,planes,airline,airlines,airports,airport,passengers,aircraft
pushing:pushed,push,putting,pressing,moving,bringing,pulling,pressed,proposing,forcing
shine:bright,light,showcase,spotlight,dominate,sun,talents,turn,inspire,bring
propaganda:rhetoric,publicity,media,political,extremists,misleading,campaigns,terror
mining:mines,mine,miners,exploration,coal,uranium,drilling,copper,metals
shutout:scoreless,strikeouts,inning,innings,hitter,batters
zoo:museum,animals,park,wildlife,parks,animal,cats,habitat
unanimous:unanimously,voted,overwhelming,vote,votes,consensus,decision,majority,recommendation,endorsed
flight:flights,plane,airplane,jet,airline,aircraft,flying,airport,planes
penny:cent,cents,dollars,money,profits,taxpayer,dollar,tax,item
statistics:figures,numbers,data,records,indicators,facts,report,surveys,findings
unchanged:intact,flat,rose,steady,benchmark,dipped,revised,pct,lower
widely:commonly,internationally,widespread,highly,generally,globally,frequently,previously,popular,initially
games:game,matches,contests,seasons,tournaments,playing,play,season,postseason,playoffs
intercepted:interception,sacked,touchdown,seized,pass,interceptions,tipped,yard,blocked
blend:mix,mixture,combination,combine,combines,complement,combining,flavor,style,pure
aboard:ship,crew,plane,boat,passengers,ships,ferry,flight,vessel,boats
bear:bears,bearing,deer,cat,animal,dog,bird,animals,cats
ownership:owning,owned,owners,owner,stake,owns,holdings,acquiring,leasing,sale
tools:tool,techniques,capabilities,methods,functionality,technologies,software,skills,materials,solutions
importance:significance,dangers,important,urgency,emphasis,vital,difficulty,priority,role,implications
fame:glory,popularity,celebrity,superstar,publicity,star,legend,fortune,stars
tournament:tournaments,championship,quarterfinals,semifinals,semifinal,championships,finals
image:images,picture,photo,photograph,reputation,perception,pictures,photos,photographs,portrait
brain:tissue,mental,cells,heart,genes,gene,memory,ear,bone,muscle
corrupt:corruption,fraudulent,criminals,democratic,politicians,criminal,evil,dirty,abuses,illegal
tips:advice,tip,suggestions,recipes,info,guide,insights,tools,clues
campaigning:campaign,campaigns,election,primaries,lobbying,debates,candidacy,polls,elections,presidential
tunnel:corridor,bridge,underground,rail,stadium,pipe,highway,railway,gates,lanes
outcomes:outcome,results,strategies,clinical,responses,healthcare,effectiveness,impacts,consequences
method:methods,technique,techniques,mechanism,tool,procedure,formula,approach,process,system
resort:hotel,hotels,vacation,tourist,beach,ski,tourism,casino
engineer:engineering,engineers,architect,consultant,scientist,contractor,supervisor,administrator,designer
cigarette:cigarettes,tobacco,smoking,smoke,liquor,beer,marijuana,coffee,beverage,bottle
bass:guitar,piano,fish,fishing,blues,jazz,band,music,musician,musical
well:as,poorly,good,reasonably,far,much,such,properly,badly,better
notices:notice,notification,letters,notify,warnings,letter,warning,notified,petition,messages
neighboring:nearby,northern,southern,western,neighbors,eastern,northeast,northwest,southeast,south
carefully:careful,thoroughly,properly,closely,correctly,separately,individually,differently,heavily,appropriate
departments:department,agencies,municipalities,entities,organizations,councils,officers,firefighters,chiefs
printing:print,printed,publishing,paper,packaging,imaging,processing,circulation,editing,manufacturing
acquire:acquiring,acquired,acquisition,purchase,buy,sell,develop,obtain
signs:sign,indications,posters,signals,indicators,flags,banner,slowing,poster,indication
sooner:quicker,better,faster,soon,longer,worse,eventually,if,wait,probably
layoffs:cuts,reductions,jobs,restructuring,hiring,downturn,shutdown,workforce,closure
watch:watching,watched,watches,see,listen,monitor,viewing,wait,live
military:army,civilian,soldiers,troops,commanders
matching:matched,identical,combining,tying,combined,applying,exceeding,fitting,description,sets
engines:engine,cars,diesel,aircraft,motor,vehicles,fuel,jets,planes,tires
considerably:significantly,substantially,slightly,dramatically,greatly,somewhat,steadily,than,less,much
pick:picks,picking,picked,select,draft,selection,choice,round,choose
tie:tied,tying,clinch,ties,win,lead,score,wrap,scoreless,trailing
cook:cooking,cooked,dishes,chef,dish,eat,kitchen,recipes,meal,meals
presidents:governors,president,presidency,leaders,politicians,presidential,professors
lane:lanes,intersection,road,highway,traffic,roads
citizenship:visa,passport,citizen,immigration,immigrants,immigrant,nationals,identity
batteries:battery,electronics,devices,laptops,laptop,electrical,portable,electric,phones,device
process:processes,procedure,procedures,method,phase,system,cycle,mechanism,negotiations,methods
deputy:chief,secretary,vice,assistant,officer,aide,director,commissioner,adviser
weight:diet,pounds,overweight,fat,muscle,weigh,obesity,calories,weighed,weighing
tiny:small,smallest,large,smaller,sized,larger,size,vast,modest
stage:stages,podium,phase,staging,moment,theater,venue,arena
illegal:unlawful,illegally,prohibited,fraudulent,banning,banned,smuggling,legally,violation,bans
procedure:procedures,surgery,process,method,technique,protocol,routine,operation,methods,processes
shake:shaking,shook,knock,hang,change,blow,crack,lay,break,pull
widespread:persistent,massive,widely,severe,broad,considerable,mounting,significant,substantial,growing
football:soccer,basketball,athletics,baseball,sports,coaches,athletic,rugby
tasks:task,functions,duties,responsibilities,missions,tools,processes,function,assignment,work
shoppers:shopping,retailers,consumers,merchants,buyers,stores,travelers,motorists,store,retailer
certification:certified,certificate,certificates,licensed,license,licenses,recognition,approval,standards,documentation
spokeswoman:spokesperson,spokesman,statement,representative,director,coordinator,said
regional:national,region,local,state,international,regions
coffee:tea,chocolate,beer,drinks,breakfast,beverage,drink,milk
nowhere:anywhere,nothing,somewhere,nobody,everywhere,none,hardly,never,no,anything
pirates:ships,vessels,ship,vessel,hostages,insurgents,rebels,terrorists,criminals
boss:bosses,manager,chairman,chief,skipper,colleague,head,chiefs,coach
first:second,third,fourth,fifth,sixth,seventh,last,eighth,final,ninth
jumper:layup,basket,baskets,fouled,seconds
cooperative:collaborative,cooperation,cooperate,partnership,supportive,collaboration,coordinated,farming,farmers,mutual
worth:valued,costing,value,invested,totaling,dollars,spent,bought,buy,bargain
ate:eat,eating,consumed,cooked,meal,lunch,diet,fed,breakfast,watched
sessions:session,workshops,meetings,workshop,seminar,presentations,classes,conferences,hours,training
union:unions,labor,strike,wage,wages,workers,pension,association
training:trained,instruction,academy,instructor,workout,exercises,fitness,courses,drills
sponsor:sponsors,sponsorship,sponsored,supporter,logo,participant,partner,hosting,organizer,host
programming:broadcasting,broadcast,channels,channel,cable,television,content,entertainment,programs
project:projects,construction,development,renovation,redevelopment,initiative,construct,venture
country:nation,continent,region,world,globe,countries,national,abroad
snap:snapped,punt,grab,shake,kick,bounce,downs,sideline,break,pass
joint:jointly,collaborative,collaboration,partnership,conjunction,cooperation,separate,coordination
park:parks,recreation,parking,cemetery,zoo,beach,lake,recreational
motivated:motivation,driven,encouraged,inspired,fueled,educated,focused,recruited,disciplined,influenced
averaged:averaging,averages,totaled,average,tallied,per,finished,nine,rebounds
part:element,component,aspect,role,whole,involves,ongoing,involved,portion,entire
baskets:basket,layup,jumper,possessions,turnovers,rebounds,shots
averages:averaging,averaged,average,per,percentage,highs,statistics,rebounding,tallied
commanders:commander,troops,soldiers,military,diplomats,forces,army,insurgents
shareholder:shareholders,stockholders,investor,shares,directors,stake,transaction,creditors,stock,merger
plate:plates,mound,batter,catcher,bat,shortstop,dish,inning,baseman,bats
dancing:dance,dancers,singing,sing,music,sang,jazz,sexy,folk
races:race,racing,contests,laps,championships,victories,finishes,competitions
sheet:paper,printed,papers,page,document,copy,summary,pages,poster,tables
mount:mounted,mounting,handle,sustain,resist,confront,overcome,defend,climb,stem
losses:loss,gains,defeats,declines,losing,decline,defeat,setback,deficits,lost
withdrawal:withdraw,withdrawn,withdrew,exit,departure,deployment,surrender,rejection,return,occupation
guilty:convicted,sentenced,indicted,charged,accused,jailed,punished,arrested,conviction
spreading:spread,flowing,destroying,sending,distributing,promoting,catching,widespread,growing,creating
automated:automation,automatic,electronic,integrated,systems,customized,proprietary,processing,processes,software
symbol:icon,logo,reminder,iconic,banner,indicator,poster,name,expression
tone:mood,attitude,rhetoric,stance,style,intensity,sounded,approach,voice,upbeat
bases:base,singled,outs,installations,batter,grounded,inning,centers,airports
connecting:connect,connected,linking,connections,connectivity,communicate,links,connection,link,interact
linked:linking,associated,related,connected,links,link,connection,attributed,tied,blamed
merger:acquisition,takeover,transaction,consolidation,buyout,shareholders,restructuring,acquisitions,deal,integration
ethical:ethics,moral,integrity,profession,legal,accountability,scientific,fundamental,principles,sustainability
routes:route,destinations,lanes,flights,fares,corridor,roads,highways,buses,transit
inspiration:inspired,inspire,motivation,passion,mentor,creativity,courage,imagination,amazing,love
distribution:distribute,distributing,distributors,distributor,distributed,delivery,wholesale,retail,supply,supplier
contests:contest,competitions,games,races,primaries,wins,matches,game,victories,tournaments
exit:departure,entrance,withdrawal,entry,escape,entering,turnaround,move,enter,elimination
mice:mouse,cells,protein,gene,genes,humans,bacteria,researchers,animals,cats
apartments:apartment,homes,houses,buildings,housing,residential,tenants,bedroom,properties,house
block:blocks,blocking,blocked
affiliated:affiliate,affiliates,organization,belong,licensed,owned,operated,headquartered,registered,independent
objects:object,pieces,items,rocks,images,artwork,paintings,debris,containers,visual
upgrades:upgrade,improvements,upgraded,repairs,additions,renovation,maintenance,changes,updates,update
officially:formally,yet,until,publicly,shortly,announced,newly,finally,since,already
fall:falling,falls,drop,rise,fell,spring,fallen,plunge,summer
commodity:commodities,metals,volatility,equities,prices,stocks,futures,derivatives,markets
pregnant:pregnancy,babies,baby,birth,married,mothers,infant,boyfriend,twins,mother
controls:control,controlled,controlling,restrictions,grip,regulations,rules,oversight,measures
developers:developer,builders,designers,publishers,buyers,owners,homeowners,users,development,tenants
ever:never,arguably,even,anything,since,honestly,probably
insurers:insurer,insurance,premiums,uninsured,banks,carriers,lenders
resources:resource,expertise,infrastructure,wealth,funds,services,tools,funding,money,reserves
arranged:arrange,planned,organized,instructed,arrangements,offered,requested,invited,organize,scheduled
dawn:midnight,midday,morning,arriving,noon,arrived,beginning,sun,arrive,arrival
tier:notch,ranking,class,level,rank,top,rankings,ranks,ranked
brokers:broker,brokerage,sellers,bankers,dealers,firms,lenders,traders,buyers,agents
parish:church,priest,churches,priests,county,town,borough,city
efforts:effort,attempts,initiatives,attempt,initiative,quest,helping,actions,operations,mission
couple:few,two,several,three,four,pair,five,six,some,seven
falls:drops,falling,rises,fall,fell,goes,fallen,loses,puts,stays
tied:tying,tie,finished,trailing,matched,connected,linked,trailed,tallied,wrapped
filings:filing,documents,uncertainties,filed,statements,disclosure,records
holds:holding,owns,hold,sits,held,maintains,boasts,puts,belongs,takes
negotiated:negotiate,negotiating,negotiations,agreement,agreements,deal,agreed,agreeing,deals,signed
doubles:singles,double,triple,tennis,volleyball,quarterfinals,homered
ditch:dump,abandon,unsuccessful,desperate,overturned,curb,failed,mud,drain,stuck
responsibilities:duties,responsibility,obligations,roles,tasks,role,functions,burden,task,duty
perfectly:reasonably,perfect,fairly,pretty,totally,properly,seemingly,completely,somehow,similarly
deer:hunters,birds,wildlife,bird,hunting,animals,animal,livestock,fish
airline:airlines,flights,carrier,aviation,airport,flight,airports,passengers
bed:beds,sleep,sleeping,bedroom,bathroom,room,shower,hospital,kitchen,rooms
became:become,becoming,becomes,was,emerged,remained,seemed,began,grew,appeared
daughters:sons,daughter,grandchildren,mother,wife,siblings,sisters,son,sister,children
surging:soaring,rising,surge,surged,soared,rise,falling,tumbled,climbed,booming
corridor:route,highway,area,lanes,east,hub,tunnel,west,routes
three:four,five,two,six,seven,eight,nine,several,ten
recruiting:recruitment,recruit,recruits,recruited,hiring,coaching,coaches,hire,training,college
clause:provisions,provision,contract,amendment,exemption,statute,agreement,pact
permanently:temporarily,forever,permanent,temporary,altogether,completely,partially,voluntarily,eventually,automatically
horror:movie,scary,film,shock,horrible,nightmare,sequel,movies,shocking,films
genocide:crimes,war,torture,humanity,killings,rape,conflict,racism
ward:constituency,hospital,nurse,beds,nurses,hospitals,councilors
shaped:shape,sized,decorated,colored,inspired,mini,themed,attached,tiny,constructed
for:give,in,giving,given,plus,as,gave,but,the
full:complete,partial,limited,entire,the,maximum,fully,greater,wider
portion:portions,amount,bulk,remainder,amounts,fraction,proportion,sections,section,component
clients:client,customers,customer,partners,firms,employees,brokers,firm,consultants,associates
through:into,across,via,throughout,out,beyond,around,along,onto
pitches:pitch,batters,hitters,innings,pitching,pitchers,strikeouts,batter,balls,outs
locked:lock,stuck,shut,closed,broke,sealed,tied,dragged,broken,wrapped
one:only,two,three,five,four,another,most,seven,six
absolutely:totally,truly,really,obviously,completely,certainly,incredibly,everything,all,practically
owned:owns,operated,ownership,bought,owner,purchased,owning,financed,sold,controlled
poverty:hunger,incomes,corruption,unemployment,racism,obesity,violence,income,poor
payroll:salaries,salary,hiring,wages,taxes,staffing,budget,wage,employment,payments
exemption:exempt,tax,amendment,permit,clause,repeal,provision,permission,ban,eligibility
sole:lone,main,primary,ultimate,solely,only,another,biggest,largest,legitimate
concrete:cement,stone,steel,walls,sand,brick,wall,construction,dirt,wood
goods:merchandise,items,commodities,furniture,imports,clothing,food,apparel,products,exports
workout:practice,fitness,drills,gym,training,exercise,trainer,offseason,exercises
acquisitions:acquisition,acquiring,transaction,merger,acquired,buyout,investments,transactions,acquire
second:third,fourth,fifth,first,sixth,seventh,eighth,ninth
refrain:barred,prohibited,stop,prevent,avoid,banned,prevented,wary,withdraw,resist
posted:posting,recorded,logged,posts,submitted,released,registered,sent,post,issued
be:being,are,have,should,been,remain,were,is,probably,was
album:albums,song,songs,band,lyrics,disc,singer,music
transport:transportation,transit,railway,rail,logistics,cargo,ferry,infrastructure,buses
by:subsequently,partially,being,be,similarly,was,with,were,promptly
clay:tennis,grass,sand,soil,surface,stone
historical:historic,cultural,history,heritage,historically,museum,ancient,contemporary,fascinating
leaves:leaving,arrives,left,leave,sends,opens,comes,ends,loses,becomes
switched:switching,switch,shifted,changed,shifting,moved,shift,turned,transferred,replaced
buyers:buyer,sellers,consumers,shoppers,investors,builders,dealers,buying,borrowers,lenders
house:houses,apartment,bedroom,residence,homes,home,garage,apartments,basement,kitchen
internationally:globally,nationally,international,locally,worldwide,abroad,widely,global,world
commission:committee,commissioners,council,commissions,panel
embassy:diplomats,diplomat,ambassador,diplomatic,nationals
revive:bolster,restore,stimulate,stabilize,spur,boost,rebuild,regain,transform,persuade
quotes:quote,quoted,references,commentary,articles,reference,notes,reports,written,words
urgency:urgent,frustration,importance,optimism,significance,confidence,enthusiasm,excitement,intensity,momentum
responsibility:responsibilities,responsible,blame,burden,accountable,accountability,obligation,role,liability,consequences
schedules:schedule,scheduling,dates,calendar,weekends,timetable,busy,requirements,rules,upcoming
tens:thousands,hundreds,millions,billions,dozens,dollars,thousand,hundred
shoe:shoes,boots,clothing,apparel,clothes,boot,pants,leather,furniture,shirt
life:lives,lifestyle,lifetime,living,family,everyday,humanity,childhood,society
brief:lengthy,briefly,prolonged,lasted,summary,short,during,quick,detailed,subsequent
committees:committee,councils,commission,council,agencies,legislative,groups,associations
foot:feet,pound,inch,tall,inches,pounds,ankle,meter,leg,toe
liabilities:assets,liability,debts,obligations,debt,creditors,amortization,subsidiaries,loans
lift:lifting,lifted,lifts,boost,push,climb,pull,put,eased,impose
impression:perception,sense,idea,feeling,indication,opinion,suggestion,appearance,buzz,notion
adjacent:nearby,located,acre,near,entrance,acres,constructed,occupied
towards:toward,direction,into,closer,away,slowly,forward,path,through,ahead
typical:typically,usual,normal,type,average,traditional,usually,normally,classic,similar
sound:sounds,sounded,noise,loud,audio,music,voices,seem,instruments
creditors:bankruptcy,lenders,debts,debt,shareholders,lender,owed,shareholder,liabilities,restructuring
long:short,longer,lengthy,longest,shorter,prolonged,lasting,term,forever
pursuing:pursue,pursued,pursuit,exploring,seeking,chasing,studying,achieving,advancing,obtaining
double:triple,doubled,doubles,single,twice,apiece,tying,outs
hold:holding,held,holds,take,put,hang,wrap,carry,bring,pull
torture:detainees,abuses,genocide,detention,prisoners,rape,abuse,terror
situations:situation,scenarios,circumstances,things,instances,environments,scenario,issues,moments,ways
bears:bear,bearing,deer,animals,cats,bird,hunters,birds,cat
valued:worth,value,priced,sold,stolen,bought,valuation,purchased,costing
diagnosed:diagnosis,hospitalized,symptoms,illness,disease,infected,treated,cancer,diabetes,surgery
suing:sued,sue,lawsuit,lawsuits,alleging,damages,accusing,plaintiffs,claiming,filed
reopened:reopen,closed,opened,resumed,shut,restored,closes,halted,closure,evacuated
investing:invest,invested,investments,investment,buying,investors,investor,equity,fund
implementation:implementing,implement,implemented,integration,deployment,adoption,development,compliance,introduction,completion
architect:engineer,architecture,designer,consultant,design,contractor,developer,engineering,renovation
holy:prayer,religious,worship,spiritual,mosque,pray
mortgage:mortgages,borrowers,foreclosure,loans,foreclosures,lending,lenders,loan,lender
advancing:advances,advanced,advance,reaching,improving,pursuing,achieving,securing,defeating,strengthening
households:household,incomes,homes,consumers,families,population,respondents,residents,homeowners,electricity
earliest:sometime,early,beginning,greatest,mid,strongest,until,late,first,date
initial:subsequent,preliminary,initially,early,first,additional,eventual,phase,actual
picture:pictures,photograph,portrait,photo,photos,photographs,images,image,poster,view
landing:landed,flight,plane,flying,airplane,fly,jet,pilot,crash
sitting:sat,sit,sits,standing,lying,watching,waiting,hanging,sleeping,beside
recruits:recruiting,recruit,recruitment,graduates,recruited,freshmen,applicants,academy,coaches,youngsters
specialty:specialized,specializing,niche,diversified,distributor,specializes,variety,sells,products
visitors:visitor,tourists,guests,travelers,spectators,attendees,tourist,locals,patrons,viewers
posters:poster,banner,pictures,flags,photographs,artwork,signs,ads
foundation:framework,organization,nonprofit,stone,charity,institute,principles,platform,scholarships
cell:cells,cellular,tissue,protein,gene,bacteria,genes,mice,inmate,battery
times:twice,occasions,days,years,time,past,periods,hours,quarters,instances
firefighter:firefighters,fire,cop,officers,detective
movement:movements,revolution,uprising,march,activists,activist,protests,revolutionary,struggle,radical
affiliates:affiliate,affiliated,subsidiaries,subsidiary,network,associates,entities,partners,offices
alongside:beside,along,joins,while,front,featuring,amongst,complement,behind,atop
cooked:cook,cooking,dish,dishes,chicken,meal,eat,ate,meat,meals
directions:direction,instructions,lanes,path,route,maps,locations,map,routes,lane
rocket:rockets,missile,missiles,shuttle,bombs,bomb,moon,weapons,explosions
mirror:window,reflection,picture,eyes,camera,image,screen,rear,shadow,look
values:value,principles,traditions,beliefs,philosophy,integrity,valuation,core,principle,faith
displays:display,displayed,exhibits,exhibit,screens,features,featuring,showing,lighting,shown
moment:moments,time,thing,something,point,kind,what,really,when,indeed
dollar:currency,euro,currencies,yen,dollars,cent,yuan
stockholders:shareholders,shareholder,shares,stock,dividend,directors,transaction,merger,holders
practice:practiced,practicing,practices,workout,drills,training,sore,sessions,scrimmage
lot:lots,plenty,some,little,really,definitely,much,bunch,obviously,bit
teammates:teammate,mates,coaches,players,team,coach,guys
successfully:effectively,consistently,successful,efficiently,properly,safely,aggressively,correctly,adequately,easily
sat:sitting,sit,stood,sits,walked,stayed,waited,watched,went,listened
portrait:photograph,picture,painting,paintings,photographs,photo,artwork,pictures,photos,painted
copyright:patent,trademark,patents,publishers,licensing,trademarks,domain,content
circumstances:situation,conditions,situations,scenario,facts,scenarios,context,outcome,actions,tragic
safer:safe,healthier,easier,cheaper,better,quicker,dangerous,risky,stronger,efficient
